Date : 2024-07-28 11:30:24
Directory : c:\dev\Jade
Total : 1621 files,  233987 codes, 19976 comments, 29338 blanks, all 283301 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_int2x2_sized.cpp              | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_int2x3_sized.cpp              | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_int2x4_sized.cpp              | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_int3x2_sized.cpp              | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_int3x3_sized.cpp              | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_int3x4_sized.cpp              | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_int4x2_sized.cpp              | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_int4x3_sized.cpp              | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_int4x4_sized.cpp              | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_integer.cpp                   | C++        |        200 |          0 |         38 |        238 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_projection.cpp                | C++        |         11 |          0 |          3 |         14 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_relational.cpp                | C++        |        129 |          0 |         35 |        164 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_transform.cpp                 | C++        |         46 |          0 |         16 |         62 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_uint2x2_sized.cpp             | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_uint2x3_sized.cpp             | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_uint2x4_sized.cpp             | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_uint3x2_sized.cpp             | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_uint3x3_sized.cpp             | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_uint3x4_sized.cpp             | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_uint4x2_sized.cpp             | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_uint4x3_sized.cpp             | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_matrix_uint4x4_sized.cpp             | C++        |         21 |          0 |          8 |         29 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_quaternion_common.cpp                | C++        |         47 |          0 |         15 |         62 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_quaternion_exponential.cpp           | C++        |         67 |          0 |         21 |         88 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_quaternion_geometric.cpp             | C++        |         70 |          0 |         19 |         89 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_quaternion_relational.cpp            | C++        |         41 |          0 |         11 |         52 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_quaternion_transform.cpp             | C++        |         32 |          2 |         12 |         46 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_quaternion_trigonometric.cpp         | C++        |         31 |          0 |         10 |         41 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_quaternion_type.cpp                  | C++        |         85 |          4 |         25 |        114 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_scalar_common.cpp                    | C++        |        277 |          0 |         85 |        362 |
| c:\dev\Jade\JadeEngine\Libraries\glm\test\ext\ext_scalar_constants.cpp                 | C++        |         27 |          0 |         10 |         37 |
